2,3.814697265625e-06
4,4.0531158447265625e-06
8,1.5974044799804688e-05
16,2.8133392333984375e-05
32,0.00011038780212402344
64,0.00030350685119628906
128,0.0005011558532714844
256,0.0010752677917480469
512,0.0023725032806396484
1024,0.004906415939331055
2048,0.01117849349975586
4096,0.022549867630004883
8192,0.05214190483093262
16384,0.10632038116455078
32768,0.22945022583007812
65536,0.48837757110595703
131072,1.1002345085144043
262144,2.224729061126709
524288,4.722617864608765
1048576,9.96997332572937
2097152,21.535459995269775
4194304,46.40123629570007
8388608,98.9035530090332
