Date,Close/Last,Volume,Open,High,Low
02/22/2021,$234.51,36446940,$237.42,$237.93,$232.4
02/19/2021,$240.97,25262600,$243.75,$243.86,$240.18
02/18/2021,$243.79,16925560,$241.8,$243.93,$240.86
02/17/2021,$244.2,21673110,$241.32,$244.31,$240.94
02/16/2021,$243.7,26728490,$245.03,$246.13,$242.92
02/12/2021,$244.99,16561080,$243.933,$245.3,$242.73
02/11/2021,$244.49,15751060,$244.78,$245.15,$242.15
02/10/2021,$242.82,22186710,$245,$245.92,$240.89
02/09/2021,$243.77,23564950,$241.87,$244.76,$241.38
02/08/2021,$242.47,22211930,$243.15,$243.68,$240.81
02/05/2021,$242.2,18054750,$242.23,$243.28,$240.42
02/04/2021,$242.01,25296100,$242.66,$243.2399,$240.37
02/03/2021,$243,27158100,$239.57,$245.09,$239.26
02/02/2021,$239.51,25916340,$241.3,$242.31,$238.69
02/01/2021,$239.65,33314190,$235.06,$242.5,$232.43
01/29/2021,$231.96,42503140,$235.99,$238.02,$231.35
01/28/2021,$238.93,49111160,$235.61,$242.64,$235.09
01/27/2021,$232.9,69870640,$238,$240.44,$230.14
01/26/2021,$232.33,49169600,$231.86,$234.18,$230.08
01/25/2021,$229.53,33152100,$229.12,$229.78,$224.22
